M1;EURUSD-OTC;03:50;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;03:58;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;04:02;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;04:03;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;04:23;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;04:24;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;04:27;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;04:28;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;04:29;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;04:36;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;04:37;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 56%
M1;EURUSD-OTC;04:38;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;04:46;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;04:53;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;04:54;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;04:58;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:02;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:03;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;05:11;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;05:12;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:13;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:21;PUT ; - 100% -  ; MG 1 - 33%   ; MG 2 - 44%
M1;EURUSD-OTC;05:22;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;05:25;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;05:31;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:36;PUT ; - 100% -  ; MG 1 - 33%   ; MG 2 - 44%
M1;EURUSD-OTC;05:40;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;05:41;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;05:44;PUT ; - 100% -  ; MG 1 - 33%   ; MG 2 - 33%
M1;EURUSD-OTC;05:45;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;05:48;CALL; - 100% -  ; MG 1 - 50%   ; MG 2 - 56%
M1;EURUSD-OTC;05:49;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;05:51;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;05:56;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;05:57;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;06:04;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;06:06;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;06:07;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;06:09;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;06:10;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;06:11;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;06:22;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;06:25;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;06:27;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;06:28;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;06:30;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;06:31;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;06:33;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;06:34;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;06:36;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;06:37;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;06:38;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;06:40;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
